quarter,pop_state,pop_county,total_spending,project_count,avg_project_size,max_project,contract_spending,assistance_spending,new_construction_count,multifamily_count,affordable_count,rehab_count,public_housing_count,infra_count,unique_recipients,unique_agencies,new_construction_share,multifamily_share,affordable_share,assistance_share,expected_spending,spending_surprise,spending_surprise_pct,spending_qoq,spending_yoy,projects_qoq,projects_yoy,new_construction_intensity,multifamily_intensity,affordable_intensity,recipient_concentration,funding_persistence,active_opportunities,presolicitation_count,pipeline_value,spending_yoy_rank,projects_yoy_rank,spending_surprise_pct_rank,funding_persistence_rank,active_opportunities_rank,new_construction_intensity_rank,pipeline_score,pipeline_score_rank,spending_qoq_rank,projects_qoq_rank,multifamily_intensity_rank,affordable_intensity_rank,recipient_concentration_rank
2019Q2,WY,PARK,218310.0,22,9923.181818181818,61743.0,0.0,218310.0,0,0,22,0,0,0,4,2,0.0,0.0,1.0,1.0,128469.25,89840.75,0.6993171517697815,0.16047033308172357,0.37733277813529165,0.375,-0.18518518518518517,0.0,0.0,1.0,0.25,39,0,0,0.0,0.8586875466070097,0.5588645071403692,0.4505180421579135,0.6341150016061677,0.5001606167683906,0.49791198201092196,0.6289461873341212,0.7886283327979441,0.11588785046728972,0.3700682852807284,0.49903629938965627,0.8380982974622551,0.435753292643752
2019Q3,WY,PARK,394826.0,33,11964.424242424242,307368.0,0.0,394826.0,0,0,33,0,0,0,4,2,0.0,0.0,1.0,1.0,143421.25,251404.75,1.7529114409475584,0.8085566396408777,2.9071953765920178,0.5,0.43478260869565216,0.0,0.0,1.0,0.25,40,0,0,0.0,0.968560606060606,0.8843705799151343,0.9789586305278174,0.63568,0.50016,0.4968,0.7901235633846244,0.9952,0.9608711701734958,0.8694736842105263,0.4984,0.84624,0.4296
2019Q4,WY,PARK,72490.0,29,2499.655172413793,40128.0,0.0,72490.0,0,0,29,0,0,0,4,2,0.0,0.0,1.0,1.0,216865.0,-144375.0,-0.6657367486685265,-0.8164001357560039,0.09498202471224435,-0.12121212121212122,4.8,0.0,0.0,1.0,0.25,41,0,0,0.0,0.6908067542213884,0.9517114914425427,0.1539563193698532,0.6353431686978832,0.5001603592046183,0.4982360487491982,0.593241331948571,0.722578576010263,0.07467166979362101,0.4117544471573073,0.4990378447722899,0.623155869146889,0.4132456703014753
2020Q1,WY,PARK,468536.42,23,20371.148695652173,121537.42,131537.41999999998,336999.0,0,0,21,0,0,0,6,3,0.0,0.0,0.9130434782608695,0.7192589212168394,218437.0,250099.41999999998,1.144949894019786,5.46346282245827,1.490598760378903,-0.20689655172413793,0.4375,0.0,0.0,0.9130434782608695,0.16666666666666666,42,0,0,0.0,0.8299294467137022,0.4521196063588191,0.7961234745154343,0.6366251198465963,0.5001597954618089,0.4979226589964845,0.656525299341158,0.8469159475870885,0.8953443632166218,0.32015261879986123,0.4990412272291467,0.13854266538830298,0.2961009907318632
2020Q2,WY,PARK,295098.0,32,9221.8125,84312.0,0.0,295098.0,0,0,29,1,0,0,5,3,0.0,0.0,0.90625,1.0,288540.605,6557.395000000019,0.02272607351052036,-0.3701706262236775,0.35173835371719114,0.391304347826087,0.45454545454545453,0.0,0.0,0.90625,0.2,43,0,0,0.0,0.9383991147178163,0.820853743876837,0.32529686937747393,0.6349919743178171,0.5001605136436598,0.49743178170144464,0.6734583777678576,0.8776886035313002,0.29771278590176226,0.6965358784022623,0.49887640449438203,0.26308186195826644,0.3524879614767255
2020Q3,WY,PARK,865610.12,42,20609.76476190476,387996.12,585535.12,280075.0,0,0,39,1,0,0,7,3,0.0,0.0,0.9285714285714286,0.3235579084958018,307737.605,557872.515,1.8128187973647225,1.9332971419663976,1.1923837842492642,0.3125,0.2727272727272727,0.0,0.0,0.9285714285714286,0.14285714285714285,44,0,0,0.0,0.9255003706449222,0.5809871393813,0.9778729478943612,0.6450655840099938,0.500156152404747,0.4971892567145534,0.7329813104184922,0.9703310430980637,0.9318524096385542,0.7170103092783505,0.4987507807620237,0.35134291068082446,0.2589006870705809
2020Q4,WY,PARK,151289.0,27,5603.2962962962965,92794.0,0.0,151289.0,0,0,27,0,0,0,4,2,0.0,0.0,1.0,1.0,425433.635,-274144.635,-0.6443887188186237,-0.8252226995682537,1.0870326941647124,-0.35714285714285715,-0.06896551724137931,0.0,0.0,1.0,0.25,45,0,0,0.0,0.9148529973272241,0.5166666666666667,0.10507505360972123,0.6377111890341091,0.5001593879502709,0.49776856869620656,0.5881746006569031,0.7602805227924769,0.054409005628517824,0.33423453869550523,0.49872489639783235,0.6166719795983424,0.42700031877590056
2021Q1,WY,PARK,696563.81,30,23218.79366666667,287896.0,102501.81,594062.0,0,0,26,3,0,1,6,4,0.0,0.0,0.8666666666666667,0.8528464893977193,445133.385,251430.42500000005,0.5648428841166341,3.604193365016624,0.486680181660158,0.1111111111111111,0.30434782608695654,0.0,0.0,0.8666666666666667,0.16666666666666666,46,0,0,0.0,0.5781191457474709,0.5604824405817666,0.37660944206008584,0.6376395534290271,0.5001594896331738,0.49792663476874005,0.5344620460567233,0.6047846889952153,0.9080197643481566,0.34396032589443853,0.4988835725677831,0.15311004784688995,0.2992025518341308
2021Q2,WY,PARK,61998.46,15,4133.230666666666,29753.0,25245.46,36753.0,0,0,13,2,0,0,4,3,0.0,0.0,0.8666666666666667,0.5928050470931052,502140.23250000004,-440141.7725,-0.8765315822408235,-0.9109938542457439,-0.789905522911033,-0.5,-0.53125,0.0,0.0,0.8666666666666667,0.25,47,0,0,0.0,0.2570003835826621,0.28641801548205487,0.16899852724594994,0.6276841757515692,0.5001651800462504,0.4978526593987446,0.36437526579354673,0.24380574826560952,0.18745304282494366,0.4148494288681205,0.49917409976874794,0.08721506442021804,0.24826560951437066
2021Q3,WY,PARK,258298.0,14,18449.85714285714,127205.0,0.0,258298.0,0,0,13,1,0,0,5,3,0.0,0.0,0.9285714285714286,1.0,443865.34750000003,-185567.34750000003,-0.4180712654078048,3.166200257232196,-0.7016000690934621,-0.06666666666666667,-0.6666666666666666,0.0,0.0,0.9285714285714286,0.2,48,0,0,0.0,0.054820415879017016,0.0783709787816564,0.27939590075512405,0.6417886696371737,0.5001591343093571,0.49633991088478674,0.29103731837468044,0.0728835136855506,0.9035449299258038,0.2401906857352402,0.4987269255251432,0.1707511139401655,0.35073201782304264
2021Q4,WY,PARK,334724.79,19,17617.094210526313,162936.3,166882.78999999998,167842.0,0,0,16,3,0,0,5,3,0.0,0.0,0.8421052631578947,0.5014328338214806,292037.3175,42687.472499999974,0.14617129367379555,0.29588610829352135,1.2124859705596571,0.35714285714285715,-0.2962962962962963,0.0,0.0,0.8421052631578947,0.2,49,0,0,0.0,0.9802356518434056,0.25830975954738333,0.923771676300578,0.6372138019993551,0.5001612383102225,0.4979039019671074,0.6917795571733633,0.9406643018381168,0.7352059925093632,0.8454165214360404,0.4995162850693325,0.06304417929700097,0.3255401483392454
2022Q1,WY,PARK,379213.2,13,29170.246153846154,174640.5,184033.2,195180.0,0,0,11,1,0,0,6,3,0.0,0.0,0.8461538461538461,0.5146972731961862,337896.265,41316.935,0.12227698048097689,0.13291041276028595,-0.45559445587619607,-0.3157894736842105,-0.5666666666666667,0.0,0.0,0.8461538461538461,0.16666666666666666,50,0,0,0.0,0.8061299852289513,0.22430388449639052,0.9354838709677419,0.6351833820188251,0.5001622849724116,0.4987017202207076,0.6359791809590615,0.7987666342096722,0.8574677786201668,0.2426603841971729,0.4996754300551769,0.06702369360597209,0.2789678675754625
2022Q2,WY,PARK,2704825.78,21,128801.22761904761,2221654.78,2221654.78,483171.0,0,0,17,1,0,0,6,3,0.0,0.0,0.8095238095238095,0.1786329469249587,258558.6125,2446267.1675,7.5487608894857505,6.132731086365136,15.051554863293822,0.6153846153846154,0.4,0.0,0.0,0.8095238095238095,0.16666666666666666,51,0,0,0.0,0.9818106655642828,0.517746066593487,0.9926820343944384,0.6372739018087855,0.5001614987080103,0.4977390180878553,0.7414966267037785,0.9728682170542635,0.9019310867095797,0.8111069836552749,0.49919250645994834,0.1416343669250646,0.2905361757105943
2022Q3,WY,PARK,172785.0,16,10799.0625,78389.0,0.0,172785.0,0,0,15,0,0,0,5,3,0.0,0.0,0.9375,1.0,919265.4424999999,-746480.4424999999,-0.8120401442154723,-0.9361197304175354,-0.33106334543821475,-0.23809523809523808,0.14285714285714285,0.0,0.0,0.9375,0.2,52,0,0,0.0,0.5512965050732808,0.4940580216707445,0.11775362318840579,0.6397365884998394,0.5001606167683906,0.49775136524253133,0.47792041556534437,0.4535817539351108,0.06824817518248175,0.29527972027972027,0.49887568262126564,0.1930613556055252,0.3480565371024735
2022Q4,WY,PARK,369310.68,9,41034.52,185957.68,185957.68,183353.0,0,0,7,0,0,0,6,3,0.0,0.0,0.7777777777777778,0.4964735923694381,897887.1925,-528576.5125,-0.5886892216696809,1.137400121538328,0.10332634759439245,-0.4375,-0.5263157894736842,0.0,0.0,0.7777777777777778,0.16666666666666666,53,0,0,0.0,0.423574144486692,0.16424682395644283,0.08965014577259475,0.6319421623397963,0.5001643115346698,0.49835688465330263,0.3848084483518634,0.25402563259940847,0.6677927927927928,0.4666064981949459,0.49868550772264214,0.058823529411764705,0.2813013473545843
2023Q1,WY,PARK,390843.78,12,32570.315000000002,196510.78,196510.78,194333.0,0,0,10,0,0,0,6,3,0.0,0.0,0.8333333333333334,0.4972140019728598,906533.665,-515689.885,-0.5688590561057653,0.0583061935820541,0.030670293122707797,0.3333333333333333,-0.07692307692307693,0.0,0.0,0.8333333333333334,0.16666666666666666,54,0,0,0.0,0.19449751623996944,0.6084517576664173,0.12971784536460243,0.6317791005291006,0.500165343915344,0.49834656084656087,0.38870101807796653,0.28075396825396826,0.45140712945590994,0.7955056179775281,0.4990079365079365,0.24950396825396826,0.27232142857142855
2023Q2,WY,PARK,584093.2,15,38939.54666666666,327294.0,44088.2,540005.0,0,0,14,0,0,1,5,3,0.0,0.0,0.9333333333333333,0.9245185528610845,909441.3099999999,-325348.11,-0.3577450313973532,0.4944415899365212,-0.7840551490159193,0.25,-0.2857142857142857,0.0,0.0,0.9333333333333333,0.2,55,0,0,0.0,0.09254498714652956,0.332341617080854,0.18486486486486486,0.6400778210116731,0.5001621271076524,0.4982166018158236,0.32620212083529787,0.1546692607003891,0.5177570093457944,0.5505851264628162,0.4988651102464332,0.29685473411154345,0.38942931258106356
2023Q3,WY,PARK,361333.0,19,19017.526315789473,119747.0,119747.0,241586.0,0,0,18,0,0,0,5,3,0.0,0.0,0.9473684210526315,0.668596557745902,379258.165,-17925.16499999998,-0.04726375502027749,-0.38137783490716887,1.0912289839974534,0.26666666666666666,0.1875,0.0,0.0,0.9473684210526315,0.2,56,0,0,0.0,0.7887377173091459,0.874229793403407,0.8262271587244715,0.6392961876832844,0.5001629195177583,0.4965786901270772,0.7122665931047898,0.9501466275659824,0.6757148027506333,0.8038112522686025,0.49788204626914306,0.7209188660801564,0.3602150537634409
2023Q4,WY,PARK,182202.0,7,26028.85714285714,113778.0,0.0,182202.0,0,0,6,0,0,1,5,3,0.0,0.0,0.8571428571428571,1.0,426395.165,-244193.16499999998,-0.572692152829641,-0.49575045733437023,-0.5066430247833612,-0.631578947368421,-0.2222222222222222,0.0,0.0,0.8571428571428571,0.2,57,0,0,0.0,0.14394807178312333,0.5066793893129771,0.2631578947368421,0.6265736645117387,0.5001701258931609,0.4988091187478734,0.3775524945779321,0.2436202790064648,0.21514694800301432,0.1352154531946508,0.4989792446410344,0.1879891119428377,0.28428036747192925
2024Q1,WY,PARK,268872.0,7,38410.28571428572,125802.0,0.0,268872.0,0,0,7,0,0,0,3,1,0.0,0.0,1.0,1.0,379617.995,-110745.995,-0.29173009830579816,0.47568083775150655,-0.31207297196849343,0.0,-0.4166666666666667,0.0,0.0,1.0,0.3333333333333333,58,0,0,0.0,0.38271604938271603,0.11461480362537764,0.27978339350180503,0.6358641358641358,0.5001665001665002,0.4975024975024975,0.39412938953873733,0.26373626373626374,0.6780561883067577,0.2406060606060606,0.4981684981684982,0.7052947052947053,0.5494505494505495
2024Q2,WY,PARK,648838.25,13,49910.63461538462,335891.0,14685.25,634153.0,0,0,11,0,0,0,5,3,0.0,0.0,0.8461538461538461,0.977366855298682,349125.05,299713.2,0.8584694796320116,1.41318638608706,0.11084712165798206,0.8571428571428571,-0.13333333333333333,0.0,0.0,0.8461538461538461,0.2,59,0,0,0.0,0.42294961382861346,0.5987449243263196,0.41353111432706224,0.6375291375291375,0.5001665001665002,0.4973359973359973,0.4991142353345367,0.5001665001665002,0.6025878003696857,0.939429012345679,0.49783549783549785,0.38727938727938727,0.34565434565434566
